url1,url2,url3
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Langostino,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Admiral,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Alotta,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Angry,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Bahama,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Baileys,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Bar,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Berry,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Bloody,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Boston,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Bottled,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Bourbon,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Brownie,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Brut,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Bud,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Budweiser,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Cabernet,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Cajun,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Canadian,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Caramel,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Center-Cut,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Chardonnay,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Chicken,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Chocolate,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Classic,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Coastal,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Coffee,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Cognac,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Coors,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Corona,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Cosmopolitan,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Crab,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Creamy,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Create,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Crispy,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Crunch-Fried,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Crunchy,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Farm-Raised,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Fat,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Fountain,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Fried,&wordsMode=AllWords
http://staging.redlobster.ca/search-results?indexCatalogue=default-ca&searchQuery=,Frozen,&wordsMode=AllWords
